name,Gaia alert name,Calib server name,Gaiadr2 id,ra,dec,Classification,Priority,Cadence
Gaia19aqh,Gaia19aqh,ivo://Gaia19aqh,5864138549725256448,204.527031589,-64.3563688637
Gaia19aqq,Gaia19aqq,ivo://Gaia19aqq,5935223453905308160,245.870686414,-50.6269692852
Gaia19aqw,Gaia19aqw,ivo://Gaia19aqw,5859504142574594560,182.255814348,-68.0368128081
Gaia19aqy,Gaia19aqy,ivo://Gaia19aqy,4203460956182603648,282.788684688,-9.0301455493
Gaia19asx,Gaia19asx,ivo://Gaia19asx,2024321475060777984,289.114453306,26.6535547104
Gaia19awc,Gaia19awc,ivo://Gaia19awc,4270884761539465344,273.900548057,-2.25696729964
Gaia19axg,Gaia19axg,ivo://Gaia19axg,4071081856509491456,269.334604646,-20.5722656932
Gaia19bat,Gaia19bat,ivo://Gaia19bat,5884554758344897408,239.005356491,-55.2891728644
Gaia19bcm,Gaia19bcm,ivo://Gaia19bcm,5230425299224777088,156.894853414,-71.7009553202
Gaia19bfn,Gaia19bfn,ivo://Gaia19bfn,2922372099841951744,103.70386159,-23.820467895
Gaia19bft,Gaia19bft,ivo://Gaia19bft,4115077061877232256,260.364460747,-21.4673772754
Gaia19bfu,Gaia19bfu,ivo://Gaia19bfu,4158190935723047040,271.736848904,-9.45104221431
Gaia19bfv,Gaia19bfv,ivo://Gaia19bfv,4269776659981194880,274.765674623,-3.59309428777
Gaia19bhg,Gaia19bhg,ivo://Gaia19bhg,4055315306385083136,263.305347063,-31.087670767
Gaia19bif,Gaia19bif,ivo://Gaia19bif,4049603992155403392,273.203983178,-30.3302578518
Gaia19bir,Gaia19bir,ivo://Gaia19bir,5889218306872888960,234.643410748,-51.2414467808
Gaia19bix,Gaia19bix,ivo://Gaia19bix,5930849321775889792,251.183749732,-53.0737771169
Gaia19bld,Gaia19bld,ivo://Gaia19bld,5860179620698137600,189.38564824,-66.1113566188
Gaia19bmp,Gaia19bmp,ivo://Gaia19bmp,5337953825612844160,165.560156995,-61.0818711373
Gaia19bmu,Gaia19bmu,ivo://Gaia19bmu,5821167191441374976,244.012258997,-67.6487996675
Gaia19bpg,Gaia19bpg,ivo://Gaia19bpg,2173021252976306816,325.460124539,51.9292969501
Gaia19bpp,Gaia19bpp,ivo://Gaia19bpp,5283853146191138432,90.1031188922,-67.7752119551
Gaia19bpx,Gaia19bpx,ivo://Gaia19bpx,1970579339561831424,321.534727605,43.7405811073
Gaia19brt,Gaia19brt,ivo://Gaia19brt,2035463994615189632,297.706149526,34.6373503774
Gaia19bsy,Gaia19bsy,ivo://Gaia19bsy,4317386033190228864,296.908160777,14.2931973881
Gaia19bzf,Gaia19bzf,ivo://Gaia19bzf,4515766067134734848,290.66330243,19.5504094125
Gaia19chi,Gaia19chi,ivo://Gaia19chi,5824003656563026432,232.035341249,-67.0209180275
Gaia19cmd,Gaia19cmd,ivo://Gaia19cmd,5880333531354403328,226.438080312,-57.635825575
Gaia19cnm,Gaia19cnm,ivo://Gaia19cnm,5880278585822851072,227.936833539,-57.0571012694
Gaia19cwr,Gaia19cwr,ivo://Gaia19cwr,5338034089957713152,166.025165921,-61.0412145619
Gaia19cyv,Gaia19cyv,ivo://Gaia19cyv,1969981342672813568,318.263333454,43.3376328525
Gaia19dak,Gaia19dak,ivo://Gaia19dak,2029574907257622912,302.365159542,29.9358818483
Gaia19dke,Gaia19dke,ivo://Gaia19dke,2026409795566972544,291.49451048,28.4068621146
Gaia19dmj,Gaia19dmj,ivo://Gaia19dmj,1834895485835884032,301.399490662,26.1676893436
Gaia19dov,Gaia19dov,ivo://Gaia19dov,1825665601142922496,295.100031642,19.7057651406
Gaia19dow,Gaia19dow,ivo://Gaia19dow,4313119305269809408,287.213173184,11.9480622718
Gaia19dpz,Gaia19dpz,ivo://Gaia19dpz,6027702410543640576,254.055774469,-31.3685066709
Gaia19dqb,Gaia19dqb,ivo://Gaia19dqb,4119938312102972800,266.305906398,-19.1376737649
