name ,type, ra,dec
Gaia19egk ,SIDERAL, 266.87504018,-46.203806874
Gaia19egm ,SIDERAL, 250.358466447,-29.788325981
Gaia19egy ,SIDERAL, 229.30694112,-45.978482454
Gaia19eha ,SIDERAL, 232.039481207,-53.9648360014
Gaia19eie ,SIDERAL, 77.72384481,-72.6847368636
Gaia19eim ,SIDERAL, 200.776146061,-63.4019110632
Gaia19ejl ,SIDERAL, 188.244946732,-64.3254236272
Gaia19ekb ,SIDERAL, 175.54156756,-66.0566417006
Gaia19eku ,SIDERAL, 165.213948513,-61.7568012505
Gaia19enj ,SIDERAL, 303.062733142,34.9701002449
Gaia19epm ,SIDERAL, 304.85029811,33.006726817
Gaia19epr ,SIDERAL, 51.234954093,54.7363019602
Gaia19epz ,SIDERAL, 249.240588817,-48.673089661
Gaia19ere ,SIDERAL, 213.452795212,-58.8577181015
Gaia19erl ,SIDERAL, 207.162334891,-64.4495104234
Gaia19esp ,SIDERAL, 194.246239119,-63.8131272063
Gaia19eua ,SIDERAL, 176.669351695,-64.1187543949
Gaia19euw ,SIDERAL, 343.973422791,58.2420597118
Gaia19evd ,SIDERAL, 158.136010843,-63.242454882
Gaia19ewo ,SIDERAL, 139.74432486,-51.6776157575
Gaia19ewp ,SIDERAL, 359.646663318,-15.9509574124
Gaia19exh ,SIDERAL, 140.23510689,-48.995203138
Gaia19exm ,SIDERAL, 134.318332609,-55.2924041047
Gaia19exy ,SIDERAL, 132.927966919,-46.5016468632
Gaia19ezg ,SIDERAL, 127.458869179,-37.9047280113
Gaia19ezx ,SIDERAL, 122.949607185,-35.1567332615
Gaia19fag ,SIDERAL, 337.24175629,10.420149471
Gaia19fbl ,SIDERAL, 292.786704102,19.362313603
Gaia19fby ,SIDERAL, 286.33265526,13.4089409649
Gaia19fdg ,SIDERAL, 272.197296939,11.2925740187
